space_start_mile,space_end_mile,time_start_s,time_end_s,average_speed_mph,vehicle_count,is_observed
8.100000000,8.200000000,1500.000000000,1800.000000000,42.707573794,51,1
8.100000000,8.200000000,1800.000000000,2100.000000000,42.895112072,42,1
8.100000000,8.200000000,2100.000000000,2400.000000000,42.457921584,57,1
8.100000000,8.200000000,2400.000000000,2700.000000000,45.545694956,56,1
8.100000000,8.200000000,2700.000000000,3000.000000000,43.096255337,49,1
8.100000000,8.200000000,3000.000000000,3300.000000000,42.754714877,48,1
8.100000000,8.200000000,3300.000000000,3600.000000000,42.202170443,48,1
8.100000000,8.200000000,3600.000000000,3900.000000000,41.881534891,48,1
8.100000000,8.200000000,3900.000000000,4200.000000000,43.006912631,56,1
8.100000000,8.200000000,4200.000000000,4500.000000000,37.565560325,56,1
8.100000000,8.200000000,4500.000000000,4800.000000000,42.051635805,47,1
8.100000000,8.200000000,4800.000000000,5100.000000000,41.434638507,58,1
8.100000000,8.200000000,5100.000000000,5400.000000000,42.261368195,60,1
8.100000000,8.200000000,5400.000000000,5700.000000000,44.402764251,50,1
8.100000000,8.200000000,5700.000000000,6000.000000000,43.778575771,44,1
8.100000000,8.200000000,6000.000000000,6300.000000000,40.825335155,63,1
8.100000000,8.200000000,6300.000000000,6600.000000000,43.569264676,50,1
8.100000000,8.200000000,6600.000000000,6900.000000000,43.927386000,48,1
8.100000000,8.200000000,6900.000000000,7200.000000000,44.158451184,55,1
8.100000000,8.200000000,7200.000000000,7500.000000000,42.850553567,49,1
8.100000000,8.200000000,7500.000000000,7800.000000000,42.486130955,54,1
8.100000000,8.200000000,7800.000000000,8100.000000000,41.111721602,60,1
8.100000000,8.200000000,8100.000000000,8400.000000000,43.839033915,51,1
8.100000000,8.200000000,8400.000000000,8700.000000000,42.964882880,57,1
8.100000000,8.200000000,8700.000000000,9000.000000000,41.833712438,44,1
8.100000000,8.200000000,9000.000000000,9300.000000000,43.151992305,52,1
8.100000000,8.200000000,9300.000000000,9600.000000000,40.079577985,52,1
8.100000000,8.200000000,9600.000000000,9900.000000000,40.817967899,62,1
8.100000000,8.200000000,9900.000000000,10200.000000000,44.272531504,47,1
8.100000000,8.200000000,10200.000000000,10500.000000000,45.146796092,45,1
8.100000000,8.200000000,10500.000000000,10800.000000000,43.352433666,60,1
8.100000000,8.200000000,10800.000000000,11100.000000000,44.510393904,48,1
8.100000000,8.200000000,11100.000000000,11400.000000000,42.304651785,45,1
8.100000000,8.200000000,11400.000000000,11700.000000000,41.577532758,43,1
8.100000000,8.200000000,11700.000000000,12000.000000000,41.375971474,60,1
8.100000000,8.200000000,12000.000000000,12300.000000000,42.633501413,41,1
8.100000000,8.200000000,12300.000000000,12600.000000000,44.593944506,64,1
8.100000000,8.200000000,12600.000000000,12900.000000000,41.856145136,53,1
8.100000000,8.200000000,12900.000000000,13200.000000000,44.243793537,49,1
8.100000000,8.200000000,13200.000000000,13500.000000000,44.532873012,52,1
8.100000000,8.200000000,13500.000000000,13800.000000000,42.440956790,49,1
8.100000000,8.200000000,13800.000000000,14100.000000000,44.059399100,52,1
8.100000000,8.200000000,14100.000000000,14400.000000000,43.218160686,46,1
8.100000000,8.200000000,14400.000000000,14700.000000000,39.253687085,55,1
8.100000000,8.200000000,14700.000000000,15000.000000000,43.403760641,50,1
8.100000000,8.200000000,15000.000000000,15300.000000000,44.352697821,52,1
8.100000000,8.200000000,15300.000000000,15600.000000000,42.075621621,49,1
8.100000000,8.200000000,15600.000000000,15900.000000000,39.369531145,52,1
8.100000000,8.200000000,15900.000000000,16200.000000000,42.169474735,49,1
8.100000000,8.200000000,16200.000000000,16500.000000000,40.762335521,54,1
8.100000000,8.200000000,16500.000000000,16800.000000000,41.210733999,55,1
8.100000000,8.200000000,16800.000000000,17100.000000000,41.500998971,47,1
8.100000000,8.200000000,17100.000000000,17400.000000000,40.215435788,46,1
8.100000000,8.200000000,17400.000000000,17700.000000000,37.265624209,51,1
8.100000000,8.200000000,17700.000000000,18000.000000000,40.835910630,46,1
8.100000000,8.200000000,18000.000000000,18300.000000000,42.281970344,58,1
8.100000000,8.200000000,18300.000000000,18600.000000000,44.310240234,47,1
8.100000000,8.200000000,18600.000000000,18900.000000000,42.298887167,48,1
8.100000000,8.200000000,18900.000000000,19200.000000000,43.974240337,59,1
8.100000000,8.200000000,19200.000000000,19500.000000000,38.964393119,50,1
8.100000000,8.200000000,19500.000000000,19800.000000000,42.049984532,53,1
8.100000000,8.200000000,19800.000000000,20100.000000000,39.595012336,49,1
8.100000000,8.200000000,20100.000000000,20400.000000000,39.887299323,47,1
8.100000000,8.200000000,20400.000000000,20700.000000000,42.723479938,66,1
8.100000000,8.200000000,20700.000000000,21000.000000000,42.000550883,37,1
8.100000000,8.200000000,21000.000000000,21300.000000000,42.981180181,45,1
8.100000000,8.200000000,21300.000000000,21600.000000000,42.942380130,59,1
8.200000000,8.300000000,0.000000000,300.000000000,65.000000000,0,0
8.200000000,8.300000000,300.000000000,600.000000000,56.616460516,3,1
8.200000000,8.300000000,600.000000000,900.000000000,42.645107461,36,1
8.200000000,8.300000000,900.000000000,1200.000000000,39.317711960,43,1
8.200000000,8.300000000,1200.000000000,1500.000000000,37.267921852,51,1
8.200000000,8.300000000,1500.000000000,1800.000000000,40.700798598,55,1
8.200000000,8.300000000,1800.000000000,2100.000000000,42.040677325,40,1
8.200000000,8.300000000,2100.000000000,2400.000000000,42.162108236,57,1
8.200000000,8.300000000,2400.000000000,2700.000000000,46.338689437,54,1
8.200000000,8.300000000,2700.000000000,3000.000000000,44.106912299,51,1
